candidate_id,industry_sector,candidate_skills,experience_years,education_level,skill_count
16852973,Human Resources,"['medical terminology', 'payroll', 'customer service', 'education', 'budgeting', 'conflict resolution', 'operations', 'safety', 'healthcare', 'accounting', 'time management', 'leadership', 'hospitality', 'statistics', 'public relations', 'employee relations', 'analytical', 'medical billing']",15,High School / Diploma,18
22323967,Human Resources,"['education', 'recruitment', 'operations', 'photoshop', 'communication', 'public relations', 'illustrator', 'project management']",0,Master's,8
33176873,Human Resources,"['research', 'payroll', 'customer service', 'recruitment', 'education', 'quality control', 'healthcare', 'strategic planning', 'compliance', 'leadership', 'project management', 'excel', 'nursing', 'performance management', 'hris']",20,Master's,15
27018550,Human Resources,"['payroll', 'customer service', 'education', 'conflict resolution', 'communication', 'powerpoint', 'excel']",20,Bachelor's,7
17812897,Human Resources,"['strategy', 'payroll', 'education', 'recruitment', 'advocacy', 'operations', 'teamwork', 'conflict resolution', 'safety', 'compliance', 'leadership', 'project management', 'powerpoint', 'problem solving', 'excel', 'employee relations', 'performance management', 'hris']",0,Master's,18
11592605,Human Resources,"['attention to detail', 'education', 'recruitment', 'operations', 'time management', 'public relations', 'powerpoint', 'excel', 'performance management', 'strategic planning']",0,High School / Diploma,10
25824789,Human Resources,"['education', 'customer service', 'advocacy', 'conflict resolution', 'safety', 'teaching', 'compliance', 'leadership', 'project management', 'employee relations', 'performance management', 'hris']",0,Bachelor's,12
15375009,Human Resources,"['vendor management', 'strategy', 'payroll', 'customer service', 'recruitment', 'education', 'safety', 'compliance', 'communication', 'project management', 'employee relations']",0,Master's,11
11847784,Human Resources,"['research', 'education', 'customer service', 'recruitment', 'leadership', 'communication', 'powerpoint', 'project management', 'excel', 'performance management', 'negotiation']",15,Bachelor's,11
32896934,Human Resources,"['strategy', 'research', 'payroll', 'education', 'recruitment', 'lean manufacturing', 'safety', 'accounting', 'onboarding', 'accounts payable', 'r', 'employee relations', 'performance management', 'six sigma']",0,Bachelor's,14
29149998,Human Resources,"['payroll', 'customer service', 'oracle', 'logistics', 'education', 'recruitment', 'accounting', 'communication', 'leadership', 'employee relations', 'analytical']",3,Master's,11
11480899,Human Resources,"['payroll', 'education', 'recruitment', 'procurement', 'operations', 'safety', 'compliance', 'leadership', 'communication', 'problem solving', 'employee relations', 'analytical', 'performance management']",0,Master's,13
