job_id,industry_sector,job_title,required_skills,minimum_experience_years,education_level,market_demand_score,location,formatted_work_type,formatted_experience_level,avg_salary,is_salary_confidential,remote_allowed
3757466375,"Design, Media & Creative",3D Animator For Youtube Short,"['education', 'maya', 'communication', 'blender', 'animation']",0,Bachelor's,1.0,United States,Full-time,,,1,1.0
3749351239,Other,3D Artist,"['maya', 'after effects']",5,Bachelor's,2.31,"New York, NY",Temporary,Mid-Senior level,9966.67,0,1.0
3693070255,Other,3D Artist,"['blender', 'maya']",0,Bachelor's,2.31,"Burlingame, CA",Full-time,,14733.33,0,
3697312974,Other,3D Artist,"['attention to detail', 'creativity', 'typography', 'communication', 'adobe xd', 'graphic design']",0,Bachelor's,2.31,United States,Volunteer,,,1,1.0
3693046340,Other,3D Artist,"['3d modeling', 'photoshop', 'communication', 'after effects']",3,Bachelor's,2.31,"Redmond, WA",Contract,Associate,7626.67,0,
3699058305,Other,3D Artist Gaming,"['education', 'teamwork', '3d modeling', 'communication', 'color theory']",1,Bachelor's,1.0,"Redmond, WA",Contract,Entry level,9186.67,0,
3693599396,"Design, Media & Creative",3D Character Animator,"['anatomy', 'photoshop', 'maya', 'time management', 'problem solving', 'animation']",5,Bachelor's,1.0,United States,Contract,Mid-Senior level,,1,1.0
3701315785,Technology & IT,3D Cloud Graphics Pipeline Engineer,"['research', 'computer vision', '3d modeling', 'python', 'linux', 'blender']",5,Bachelor's,1.0,"Palo Alto, CA",Contract,Mid-Senior level,13433.33,0,1.0
3757753299,"Design, Media & Creative",3D Designer,"['attention to detail', 'creativity', 'typography', 'adobe xd', 'autocad', 'graphic design']",1,Bachelor's,1.0,United States,Contract,Entry level,,1,1.0
3694149590,Science & Research,3D Reconstruction Researcher,"['research', 'tensorflow', 'education', 'pytorch', 'computer vision', 'communication', 'deep learning', 'python']",5,PhD,1.0,"Los Angeles, CA",Full-time,Mid-Senior level,12679.17,0,
3701372533,Engineering,3D Tools Engineer,"['engineering design', 'safety', 'python', 'problem solving', 'troubleshooting']",5,Bachelor's,1.0,"Palo Alto, CA",Contract,Mid-Senior level,13433.33,0,1.0
3749387411,Other,3D Visualization Artist,"['education', 'after effects', 'photoshop', 'communication', 'illustrator', '3d modeling', 'powerpoint', 'time management', 'autocad']",1,Master's,1.0,"Everett, WA",Full-time,Entry level,5286.67,0,
3749370537,Other,3Dp Solvent Specialist,"['attention to detail', 'education', 'manufacturing', 'c', 'operations', 'safety', 'communication']",0,High School / Diploma,1.0,"Morrisville, NC",Full-time,,,1,
3755589632,"Construction, Facilities & Trades",A&P Base Mechanic,"['engineering design', 'safety', 'problem solving', 'troubleshooting']",0,High School / Diploma,1.0,"Lakeland, FL",Full-time,,,1,
3755590560,"Construction, Facilities & Trades",A&P Field Mechanic,"['patient care', 'safety', 'healthcare', 'aviation', 'troubleshooting']",0,High School / Diploma,1.0,"Texas, United States",Full-time,,,1,
3754503808,Education & Training,Aanp Tutor,"['communication', 'teaching', 'tutoring']",1,Bachelor's,1.0,United States,Full-time,Entry level,,1,1.0
3693049133,Technology & IT,Abinitio Developer,"['artificial intelligence', 'ci/cd', 'machine learning', 'sql']",0,Bachelor's,1.0,"Wilmington, DE",Contract,,,1,
3693045672,Banking & Insurance,Abl Portfolio Manager,"['customer service', 'accounting', 'communication', 'compliance', 'portfolio management', 'excel', 'account management']",10,Bachelor's,1.0,"Dallas, TX",Full-time,,,1,
3755552916,Banking & Insurance,Abs Investment Asssociate,"['risk management', 'banking', 'compliance', 'communication', 'financial analysis']",7,Master's,1.0,New York City Metropolitan Area,Full-time,Associate,13541.67,0,
3757495006,Education & Training,Academic Advisor,"['research', 'education', 'recruitment', 'teaching', 'onboarding', 'communication', 'tutoring', 'analytical']",1,Master's,2.98,"New York, United States",Full-time,Entry level,4583.33,0,1.0
3699088307,Education & Training,Academic Advisor,"['attention to detail', 'research', 'education', 'recruitment', 'communication', 'time management', 'excel', 'analytical']",10,Bachelor's,2.98,"Tampa, FL",Full-time,Mid-Senior level,,1,
3697361032,Education & Training,Academic Advisor,"['education', 'teaching']",2,Master's,2.98,"Brownsville, TX",Part-time,Associate,,1,
3699083526,Education & Training,Academic Advisor,"['mathematics', 'research', 'education', 'recruitment', 'teaching', 'statistics']",5,Master's,2.98,"Chicago, IL",Full-time,Mid-Senior level,,1,
3757701871,Education & Training,Academic Advisor,"['research', 'education', 'recruitment', 'onboarding', 'communication', 'project management', 'analytical']",1,Master's,2.98,"New York, United States",Full-time,Entry level,4583.33,0,1.0
3757703533,Education & Training,Academic Advisor,"['research', 'education', 'recruitment', 'teaching', 'communication', 'project management', 'analytical']",1,High School / Diploma,2.98,"New York, United States",Full-time,Entry level,4583.33,0,1.0
3757705262,Education & Training,Academic Advisor,"['research', 'education', 'recruitment', 'teaching', 'onboarding', 'communication', 'project management', 'analytical']",1,Master's,2.98,"New York, United States",Full-time,Entry level,4583.33,0,1.0
3749336906,Education & Training,Academic Affairs Specialist,"['adaptability', 'teamwork', 'time management', 'communication', 'problem solving']",0,Associate's,1.0,"Albuquerque, NM",Full-time,,,1,
3697355640,Education & Training,Academic Coach,"['education', 'teaching', 'tutoring']",1,Bachelor's,1.0,"Washington, DC",Full-time,Entry level,,1,1.0
3694103031,Education & Training,Academic Glaucoma Specialists,"['cc', 'education', 'recruitment', 'patient care', 'teaching', 'surgery']",0,PhD,1.0,"Chicago, IL",Full-time,,,1,
