candidate_id,industry_sector_cand,candidate_skills,experience_years,education_level_cand,skill_count,sector_key,job_id,industry_sector_job,job_title,required_skills,minimum_experience_years,education_level_job,market_demand_score,location,formatted_work_type,formatted_experience_level,avg_salary,is_salary_confidential,remote_allowed,cand_soft_skills,cand_tech_skills,req_soft_skills,req_tech_skills,skill_match_ratio,missing_skills,missing_skill_count,experience_gap_years,edu_gap,salary_percentile,demand_n,overall_fit_score,scaled_fit_score
23032276,Food & Hospitality,"['education', 'customer service', 'recruitment', 'budgeting', 'operations', 'food safety', 'quality control', 'safety', 'accounting', 'compliance', 'leadership', 'hospitality', 'powerpoint', 'excel']",0,Master's,14,FOOD & HOSPITALITY,3748839792,Food & Hospitality,Station Cook,"['communication', 'adaptability', 'teamwork', 'problem solving']",3,Bachelor's,1.0,"Dallas, TX",Full-time,Entry level,,1,,['leadership'],"['education', 'customer service', 'recruitment', 'budgeting', 'operations', 'food safety', 'quality control', 'safety', 'accounting', 'compliance', 'hospitality', 'powerpoint', 'excel']","['communication', 'adaptability', 'teamwork', 'problem solving']",[],0.0,"['adaptability', 'communication', 'problem solving', 'teamwork']",4,3,0,0.5,0.1,0.0,0.0
68460556,Technology & IT,"['education', 'customer service', 'operations', 'communication', 'problem solving', 'excel']",0,Bachelor's,6,TECHNOLOGY & IT,3701368586,Technology & IT,Software Engineer,"['c', 'recruitment', 'golang', 'java', 'python']",0,Master's,8.7,"Seattle, WA",Full-time,,10172.92,0,,"['communication', 'problem solving']","['education', 'customer service', 'operations', 'excel']",[],"['c', 'recruitment', 'golang', 'java', 'python']",0.0,"['c', 'golang', 'java', 'python', 'recruitment']",5,0,1,0.3931547619047619,0.8699999999999999,0.0763,0.0982
20390397,"Design, Media & Creative","['education', 'manufacturing', 'customer service', 'erp', 'sap', 'communication', 'autocad', 'project management', 'powerpoint', 'excel', 'troubleshooting', 'six sigma']",0,Bachelor's,12,"DESIGN, MEDIA & CREATIVE",3701196882,"Design, Media & Creative",Technical Writer,"['communication', 'intellectual property', 'manufacturing']",0,Bachelor's,4.82,United States,Contract,,6500.0,0,1.0,['communication'],"['education', 'manufacturing', 'customer service', 'erp', 'sap', 'autocad', 'project management', 'powerpoint', 'excel', 'troubleshooting', 'six sigma']",['communication'],"['intellectual property', 'manufacturing']",0.3875,['intellectual property'],1,0,0,0.2251190476190476,0.48200000000000004,0.3032,0.3901
10329506,Banking & Insurance,"['attention to detail', 'unix', 'cold calling', 'education', 'oracle', 'photoshop', 'compliance', 'leadership', 'communication', 'excel']",0,High School / Diploma,10,BANKING & INSURANCE,3756147696,Banking & Insurance,Insurance Broker,"['adaptability', 'teamwork', 'crm', 'communication', 'problem solving']",0,Bachelor's,1.58,"California, United States",Full-time,,7500.0,0,1.0,"['leadership', 'communication']","['attention to detail', 'unix', 'cold calling', 'education', 'oracle', 'photoshop', 'compliance', 'excel']","['adaptability', 'teamwork', 'communication', 'problem solving']",['crm'],0.0367,"['adaptability', 'crm', 'problem solving', 'teamwork']",4,0,2,0.42888198757763973,0.158,0.0,0.0
33872500,Banking & Insurance,"['financial modeling', 'risk management', 'data entry', 'gaap', 'operations', 'recruitment', 'education', 'accounts receivable', 'safety', 'compliance', 'accounting', 'accounts payable', 'financial analysis', 'technical support']",0,Master's,14,BANKING & INSURANCE,3693586544,Banking & Insurance,Loan Processing Coordinator,"['communication', 'education', 'customer service', 'operations']",0,High School / Diploma,1.0,"Berlin, WI",Full-time,,,1,,[],"['financial modeling', 'risk management', 'data entry', 'gaap', 'operations', 'recruitment', 'education', 'accounts receivable', 'safety', 'compliance', 'accounting', 'accounts payable', 'financial analysis', 'technical support']",['communication'],"['education', 'customer service', 'operations']",0.6526,"['communication', 'customer service']",2,0,0,0.5,0.1,0.4516,0.581
90468982,Legal & Compliance,"['research', 'education', 'customer service', 'safety', 'auditing', 'communication']",4,High School / Diploma,6,LEGAL & COMPLIANCE,3749356146,Legal & Compliance,Attorney,"['contract drafting', 'compliance', 'litigation', 'communication', 'legal research', 'analytical']",2,Bachelor's,5.0,"Newark, NJ",Full-time,Mid-Senior level,,1,,['communication'],"['research', 'education', 'customer service', 'safety', 'auditing']","['communication', 'analytical']","['contract drafting', 'compliance', 'litigation', 'legal research']",0.0563,"['analytical', 'compliance', 'contract drafting', 'legal research', 'litigation']",5,0,2,0.5,0.5,0.0338,0.0435
15792052,Finance & Accounting,"['attention to detail', 'research', 'data entry', 'customer service', 'education', 'teamwork', 'payroll', 'auditing', 'communication', 'accounting', 'compliance', 'analytical', 'account management']",0,Bachelor's,13,FINANCE & ACCOUNTING,3693070290,Finance & Accounting,Accounting Clerk,"['attention to detail', 'education', 'accounting']",0,Master's,3.67,"Houston, TX",Full-time,,,1,,"['teamwork', 'communication', 'analytical']","['attention to detail', 'research', 'data entry', 'customer service', 'education', 'payroll', 'auditing', 'accounting', 'compliance', 'account management']",[],"['attention to detail', 'education', 'accounting']",1.0,[],0,0,1,0.5,0.367,0.6367,0.8191
69097572,Customer Service,"['attention to detail', 'education', 'customer service', 'quality control', 'sap', 'compliance', 'leadership', 'financial reporting', 'illustrator', 'powerpoint', 'problem solving', 'communication', 'excel', 'troubleshooting', 'graphic design', 'animation']",6,Bachelor's,16,CUSTOMER SERVICE,3757485320,Customer Service,Call Center Executive,"['communication', 'customer service']",2,Bachelor's,1.0,"Albany, NY",Contract,Mid-Senior level,2860.0,0,,"['leadership', 'problem solving', 'communication']","['attention to detail', 'education', 'customer service', 'quality control', 'sap', 'compliance', 'financial reporting', 'illustrator', 'powerpoint', 'excel', 'troubleshooting', 'graphic design', 'animation']",['communication'],['customer service'],1.0,[],0,0,0,0.22830578512396693,0.1,0.6328,0.8141
40088790,Legal & Compliance,"['payroll', 'customer service', 'education', 'operations', 'client retention', 'compliance', 'leadership', 'public relations', 'communication', 'project management', 'negotiation']",0,Bachelor's,11,LEGAL & COMPLIANCE,3755291185,Legal & Compliance,Litigation Paralegal,"['litigation', 'research', 'communication']",2,Bachelor's,4.21,"Harrisburg, PA",Full-time,,,1,,"['leadership', 'communication', 'negotiation']","['payroll', 'customer service', 'education', 'operations', 'client retention', 'compliance', 'public relations', 'project management']",['communication'],"['litigation', 'research']",0.1213,"['litigation', 'research']",2,2,0,0.5,0.421,0.1249,0.1607
13294301,Finance & Accounting,"['attention to detail', 'data entry', 'customer service', 'payroll', 'gaap', 'education', 'accounting', 'compliance', 'analytical', 'critical thinking']",0,Bachelor's,10,FINANCE & ACCOUNTING,3699070813,Finance & Accounting,Finance Revenue Manager,"['strategy', 'operations', 'safety', 'leadership', 'communication', 'analytical']",5,Master's,1.0,"Boston, MA",Full-time,Mid-Senior level,,1,,"['analytical', 'critical thinking']","['attention to detail', 'data entry', 'customer service', 'payroll', 'gaap', 'education', 'accounting', 'compliance']","['leadership', 'communication', 'analytical']","['strategy', 'operations', 'safety']",0.1039,"['communication', 'leadership', 'operations', 'safety', 'strategy']",5,5,1,0.5,0.1,0.0,0.0
78149576,"Design, Media & Creative","['education', 'customer service']",0,High School / Diploma,2,"DESIGN, MEDIA & CREATIVE",3756176716,"Design, Media & Creative",Writer,"['attention to detail', 'research', 'customer service', 'google analytics', 'seo', 'social media']",0,Bachelor's,4.21,"Jacksonville, FL",Part-time,,,1,1.0,[],"['education', 'customer service']",[],"['attention to detail', 'research', 'customer service', 'google analytics', 'seo', 'social media']",0.1959,"['attention to detail', 'google analytics', 'research', 'seo', 'social media']",5,0,2,0.5,0.421,0.1096,0.141
69859102,Operations & Supply Chain,"['attention to detail', 'education', 'customer service', 'operations', 'safety', 'compliance', 'communication']",0,High School / Diploma,7,OPERATIONS & SUPPLY CHAIN,3693043685,Operations & Supply Chain,Supply Chain,"['strategy', 'supply chain', 'procurement', 'logistics', 'safety', 'compliance', 'leadership', 'communication', 'time management', 'powerpoint', 'excel']",0,Bachelor's,1.99,"Fort Wayne, IN",Internship,Internship,,1,,['communication'],"['attention to detail', 'education', 'customer service', 'operations', 'safety', 'compliance']","['leadership', 'communication', 'time management']","['strategy', 'supply chain', 'procurement', 'logistics', 'safety', 'compliance', 'powerpoint', 'excel']",0.1853,"['excel', 'leadership', 'logistics', 'powerpoint', 'procurement', 'strategy', 'supply chain', 'time management']",8,0,2,0.5,0.199,0.0811,0.1043
20824105,Technology & IT,"['aws', 'bash', 'education', 'oracle', 'communication', 'python', 'linux']",0,Master's,7,TECHNOLOGY & IT,3756111281,Technology & IT,It Support Technician,"['communication', 'education', 'problem solving', 'troubleshooting']",1,Bachelor's,2.31,"Mechanicsville, VA",Full-time,Entry level,,1,,['communication'],"['aws', 'bash', 'education', 'oracle', 'python', 'linux']","['communication', 'problem solving']","['education', 'troubleshooting']",0.3793,"['problem solving', 'troubleshooting']",2,1,0,0.5,0.231,0.2807,0.3611
46260230,Technology & IT,"['spark', 'leadership', 'aviation', 'critical thinking', 'education', 'quality control', 'safety', 'project management', 'linux', 'analytical', 'technical support', 'research', 'compliance', 'communication', 'time management', 'problem solving', 'strategy', 'operations', 'multitasking', 'troubleshooting']",10,Master's,20,TECHNOLOGY & IT,3756117218,Technology & IT,Java Developer,"['aws', 'docker', 'spring boot', 'ci/cd', 'kubernetes', 'java', 'kafka', 'sql']",12,Bachelor's,5.04,"Palo Alto, CA",Full-time,,,1,,"['leadership', 'critical thinking', 'analytical', 'communication', 'time management', 'problem solving']","['spark', 'aviation', 'education', 'quality control', 'safety', 'project management', 'linux', 'technical support', 'research', 'compliance', 'strategy', 'operations', 'multitasking', 'troubleshooting']",[],"['aws', 'docker', 'spring boot', 'ci/cd', 'kubernetes', 'java', 'kafka', 'sql']",0.0,"['aws', 'ci/cd', 'docker', 'java', 'kafka', 'kubernetes', 'spring boot', 'sql']",8,2,0,0.5,0.504,0.0604,0.0777
